City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,severo-kurilsk,50.6789,156.125,-2.52,64,98,9.68,RU,1670613590
83,usinsk,65.9939,57.5281,-23.14,97,16,4.78,RU,1670613591
84,svetlaya,46.5389,138.3297,-8.97,75,16,2.75,RU,1670613592
85,port alfred,-33.5906,26.891,23.48,90,91,6.7,ZA,1670613592
86,mackenzie,55.2999,-123.1698,-5.88,86,100,3.09,CA,1670613593
87,torbay,47.6666,-52.7314,3.75,97,100,6.17,CA,1670613593
88,khatanga,71.9667,102.5,-33.45,100,100,1.37,RU,1670613593
89,tuatapere,-46.1333,167.6833,12.46,93,100,1.72,NZ,1670613594
90,victoria,22.2855,114.1577,18.3,77,2,3.8,HK,1670613461
91,touros,-5.1989,-35.4608,28.05,69,98,5.99,BR,1670613485
92,kahului,20.8947,-156.47,25.47,69,20,9.77,US,1670613595
93,le locle,47.0595,6.7523,0.48,100,100,0.0,CH,1670613595
94,hilo,19.7297,-155.09,24.51,77,20,4.12,US,1670613596
95,lazaro cardenas,17.9583,-102.2,28.35,65,0,3.8,MX,1670613596
96,santa cruz,-17.8,-63.1667,36.03,46,75,11.32,BO,1670613494
97,santa maria,-29.6842,-53.8069,38.13,18,65,4.21,BR,1670613441
98,bataipora,-22.2953,-53.2711,28.06,69,92,1.2,BR,1670613597
99,casino,-28.8667,153.05,17.66,96,100,1.38,AU,1670613597
100,pevek,69.7008,170.3133,-21.63,90,100,2.57,RU,1670613597
101,sao joao do piaui,-8.3581,-42.2467,36.68,20,100,2.14,BR,1670613598
102,ostrovnoy,68.0531,39.5131,-6.49,84,100,10.65,RU,1670613598
103,talnakh,69.4865,88.3972,-29.3,100,22,1.19,RU,1670613598
104,chokurdakh,70.6333,147.9167,-27.17,97,100,2.91,RU,1670613599
105,weihe,32.9952,105.3247,2.9,79,79,1.78,CN,1670613599
106,saint-philippe,-21.3585,55.7679,24.77,85,20,4.86,RE,1670613599
107,komatipoort,-25.4332,31.9548,24.47,80,6,2.2,ZA,1670613600
108,ugoofaaru,5.6667,73.0,27.69,75,100,7.27,MV,1670613600
109,mount gambier,-37.8333,140.7667,6.87,82,0,2.57,AU,1670613601
110,marsabit,2.3284,37.9899,20.76,63,55,4.83,KE,1670613601
